Customer ID,Customer Name,Customer Type,School Level,Year,Year (datetime),Population,Install Date,Install Year,Decommission Date,Decommission Year,Coordinates,Source
21,Kisoko SS,School,Secondary,2022,2022-01-01,328,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
21,Kisoko SS,School,Secondary,2023,2023-01-01,440,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
21,Kisoko SS,School,Secondary,2024,2024-01-01,605,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
21,Kisoko SS,School,Secondary,2025,2025-01-01,738,2018-06-04,2018,2026-01-01,2026,"0.7197708749655422, 34.01854492288583",Calculated
22,Kamugombwa PS,School,Primary,2018,2018-01-01,396,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Calculated
22,Kamugombwa PS,School,Primary,2019,2019-01-01,327,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Calculated
22,Kamugombwa PS,School,Primary,2020,2020-01-01,344,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Calculated
22,Kamugombwa PS,School,Primary,2021,2021-01-01,0,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Calculated
22,Kamugombwa PS,School,Primary,2022,2022-01-01,358,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Calculated
22,Kamugombwa PS,School,Primary,2023,2023-01-01,310,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Calculated
22,Kamugombwa PS,School,Primary,2024,2024-01-01,310,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Inferred
22,Kamugombwa PS,School,Primary,2025,2025-01-01,310,2018-10-15,2018,2026-01-01,2026,"0.27866710151157986, 32.27007301282958",Inferred
23,Seeta Bweya PS,School,Primary,2018,2018-01-01,265,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Calculated
23,Seeta Bweya PS,School,Primary,2019,2019-01-01,251,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Calculated
23,Seeta Bweya PS,School,Primary,2020,2020-01-01,256,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Calculated
23,Seeta Bweya PS,School,Primary,2021,2021-01-01,0,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Calculated
23,Seeta Bweya PS,School,Primary,2022,2022-01-01,290,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Calculated
23,Seeta Bweya PS,School,Primary,2023,2023-01-01,237,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Calculated
23,Seeta Bweya PS,School,Primary,2024,2024-01-01,237,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Inferred
23,Seeta Bweya PS,School,Primary,2025,2025-01-01,237,2018-10-15,2018,2026-01-01,2026,"0.25467001683840595, 32.245984450269184",Inferred
24,Lukalu PS,School,Primary,2018,2018-01-01,791,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Calculated
24,Lukalu PS,School,Primary,2019,2019-01-01,728,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Calculated
24,Lukalu PS,School,Primary,2020,2020-01-01,726,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Calculated
24,Lukalu PS,School,Primary,2021,2021-01-01,0,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Calculated
24,Lukalu PS,School,Primary,2022,2022-01-01,852,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Calculated
24,Lukalu PS,School,Primary,2023,2023-01-01,843,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Calculated
24,Lukalu PS,School,Primary,2024,2024-01-01,843,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Inferred
24,Lukalu PS,School,Primary,2025,2025-01-01,843,2018-10-15,2018,2026-01-01,2026,"0.2572615436892138, 32.27786738929855",Inferred
25,Lukalu SS,School,Secondary,2018,2018-01-01,592,2018-10-15,2018,2026-01-01,2026,"0.2568425907255054, 32.27777787662353",Calculated
25,Lukalu SS,School,Secondary,2019,2019-01-01,632,2018-10-15,2018,2026-01-01,2026,"0.2568425907255054, 32.27777787662353",Calculated
25,Lukalu SS,School,Secondary,2020,2020-01-01,570,2018-10-15,2018,2026-01-01,2026,"0.2568425907255054, 32.27777787662353",Calculated
