Customer ID,Customer Name,Customer Type,Loc ID,,Loc ID,District,Coordinates,,,Latitude ,Longitude,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,System ID,System Name,Design Type,Status,Install Date,,Customer ID,Year,Population,Source,Latest Population (per Customer ID),Total Population (Latest Year Only) ,Latest year for this row’s customer,Is this row the latest year for that customer?,Population (Latest Year Only),Total Population (Latest Year Only),,"Total Population (Latest Year Only) AI Version I can't understand, here for sanity check"
70,Gombe SS,School,70,,70,,,,,#VALUE!,#VALUE!,,105,69,Kyabadaza HC III #1,Lighting Only,Installed,11/13/2021,,105,69,Kyabadaza HC III #1,Lighting Only,Installed,11/13/2021,,10,2017,"1,255.00",Calculated,1914,,2026,FALSE,,,,
71,Kasoso C/S PS,School,71,,71,,"0.14026131789630597, 32.0798361583464",,,0.1402613179,32.07983616,,31,70,St. Posiano Lwere PS #1,Lighting Only,Installed,12/11/2021,,31,70,St. Posiano Lwere PS #1,Lighting Only,Installed,12/11/2021,,10,2018,"1,024.00",Calculated,1914,,2026,FALSE,,,,
72,Kyerima UMEA PS,School,72,,72,,,,,#VALUE!,#VALUE!,,55,71,Simba Islamic PS #1,Lighting Only,Installed,12/4/2021,,55,71,Simba Islamic PS #1,Lighting Only,Installed,12/4/2021,,10,2019,"1,417.00",Calculated,1914,,2026,FALSE,,,,
73,Ssenyomo C/S PS,School,73,,73,Butambala,"0.18020, 32.11317",,,0.1802,32.11317,,68,72,Kibugga C/S PS #1,Lighting Only,Installed,11/27/2021,,68,72,Kibugga C/S PS #1,Lighting Only,Installed,11/27/2021,,10,2020,"1,474.00",Calculated,1914,,2026,FALSE,,,,
74,Kinoni PS,School,74,,74,Butambala,"0.21675172322037695, 32.117385894462295",,,0.2167517232,32.11738589,,62,73,Kayenje C/S PS #1,Lighting Only,Installed,11/20/2021,,62,73,Kayenje C/S PS #1,Lighting Only,Installed,11/20/2021,,10,2021,"1,674.00",Calculated,1914,,2026,FALSE,,,,
75,Gombe UMEA PS,School,75,,75,Butambala,"0.18068091169246886, 32.118396799812096",,,0.1806809117,32.1183968,,64,74,Kayenje C/U PS #1,Lighting Only,Installed,11/13/2021,,64,74,Kayenje C/U PS #1,Lighting Only,Installed,11/13/2021,,10,2022,"1,515.00",Calculated,1914,,2026,FALSE,,,,
76,Ntolomwe UMEA PS,School,76,,76,,,,,#VALUE!,#VALUE!,,98,75,Bulo C/S PS #1,Lighting Only,Installed,11/27/2021,,98,75,Bulo C/S PS #1,Lighting Only,Installed,11/27/2021,,10,2023,"1,564.00",Calculated,1914,,2026,FALSE,,,,
77,Ntolomwe C/S PS,School,77,,77,Butambala,"0.1468613348941984, 32.11477591509497",,,0.1468613349,32.11477592,,99,76,Bwetyaba UMEA PS #1,Lighting Only,Installed,11/20/2021,,99,76,Bwetyaba UMEA PS #1,Lighting Only,Installed,11/20/2021,,10,2024,"1,763.00",Calculated,1914,,2026,FALSE,,,,
78,Mayungwe C/U PS,School,78,,78,Butambala,"0.14015245574468982, 32.06178158329074",,,0.1401524557,32.06178158,,52,77,Kibibi SS #1,Lighting Only,Nearing EOL,12/11/2021,,52,77,Kibibi SS #1,Lighting Only,Nearing EOL,12/11/2021,,10,2025,"1,914.00",Calculated,1914,,2026,FALSE,,,,
79,St. Peters Muyungwe SS,School,79,,79,,,,,#VALUE!,#VALUE!,,67,78,Budde SS #1,Lighting Only,Installed,11/20/2021,,67,78,Budde SS #1,Lighting Only,Installed,11/20/2021,,10,2026,"1,914.00",Inferred,1914,,2026,TRUE,"1,914.00",,,
80,Makulungo UMEA PS,School,80,,80,Butambala,"0.18061764512799813, 32.18760262886709",,,0.1806176451,32.18760263,,84,79,Butawuka Magezi Ntake SS #1,Lighting Only,Installed,11/27/2021,,84,79,Butawuka Magezi Ntake SS #1,Lighting Only,Installed,11/27/2021,,11,2017,373.00,Calculated,633,,2023,FALSE,,,,
81,Budde UMEA PS,School,81,,81,Butambala,"0.1263374116478305, 32.18551211374405",,,0.1263374116,32.18551211,,85,80,Cardinal Wamala SS #1,Lighting Only,Installed,12/4/2021,,85,80,Cardinal Wamala SS #1,Lighting Only,Installed,12/4/2021,,11,2018,413.00,Calculated,633,,2023,FALSE,,,,
82,Lugala C/S PS,School,82,,82,,,,,#VALUE!,#VALUE!,,90,81,Kitagobwa SS #1,Lighting Only,Installed,12/4/2021,,90,81,Kitagobwa SS #1,Lighting Only,Installed,12/4/2021,,11,2019,417.00,Calculated,633,,2023,FALSE,,,,
83,Lugala C/U PS,School,83,,83,Butambala,"0.1407569170113463, 32.18287077158109",,,0.140756917,32.18287077,,200,82,Mustard Seed Academy PS/N #1,Lighting Only,Installed,8/5/2024,,200,82,Mustard Seed Academy PS/N #1,Lighting Only,Installed,8/5/2024,,11,2020,633.00,Calculated,633,,2023,FALSE,,,,
